,Title,Company,Location,Salary,Duration,PostingDate
0,Data Scientist,astral technologies,Remote,,$65 an hour,EmployerActive 2 days ago
1,"Data Scientist ""Time Series"" (130-180k, Remote, Energy Grid Analytics Company)",Motion Recruitment,"Remote in Washington, DC 20001",,"$130,000 - $230,000 a year",PostedPosted 1 day ago
2,"Sr. Architect – Data , AI, Information Architecture","The Travelers Companies, Inc.","Remote in Hartford, CT 06101",,"$130,600 - $215,400 a year",PostedPosted 30+ days ago
3,Machine Learning Operations-Engineer II,GM Financial,"Remote in Arlington, TX 76014",Estimated $118K - $149K a year,Full-time,PostedToday
4,Associate Data Scientist,Fifth Third Bank,Remote,,"$81,000 - $154,200 a year",PostedToday
5,Senior AI Governance Analyst,Altria,"Remote in Richmond, VA 23230",Estimated $85.6K - $108K a year,Full-time,PostedPosted 12 days ago
6,Data Scientist,Verizon,"Remote in Basking Ridge, NJ",Estimated $127K - $161K a year,Full-time,PostedToday
7,"Data Scientist, Clinical Analytics",Spring Health,"Remote in New York, NY",Estimated $119K - $151K a year,,PostedPosted 21 days ago
8,Data Analyst/Scientist,"PrimePay, LLC",Remote,,"$60,000 - $85,000 a year",PostedPosted 8 days ago •50+ applications
9,Environmental Data Scientist I,Battelle,"Remote in Boulder, CO",,"$75,000 - $80,000 a year",PostedPosted 5 days ago •50+ applications
10,Data Scientist,Live Nation,Remote,,Full-time,PostedPosted 30+ days ago
11,Climate Data Scientist,ClimateAI,Remote,Estimated $121K - $153K a year,,PostedToday
12,"Data Scientist, Sr","Pathward, N.A.",Remote,Estimated $119K - $151K a year,,PostedPosted 5 days ago •50+ applications
13,Senior Statistical Programmer,PHASTAR,Remote,Estimated $112K - $141K a year,Full-time +1,PostedPosted 30+ days ago
14,Senior Data Analyst,Maven Clinic,"Remote in New York, NY",,"$150,000 - $170,000 a year",PostedPosted 22 days ago •50+ applications
15,Software Engineer - AI Trainer,DataAnnotation,Remote,,$30 - $35 an hour,EmployerActive 2 days ago
16,Associate Data Scientist,Fifth Third Bank,Remote,,"$81,000 - $154,200 a year",PostedToday
17,Data Scientist,Verizon,"Remote in Basking Ridge, NJ",Estimated $127K - $161K a year,Full-time,PostedToday
18,"Data Scientist, Clinical Analytics",Spring Health,"Remote in New York, NY",Estimated $119K - $151K a year,,PostedPosted 21 days ago
19,Data Analyst/Scientist,"PrimePay, LLC",Remote,,"$60,000 - $85,000 a year",PostedPosted 8 days ago •50+ applications
20,Environmental Data Scientist I,Battelle,"Remote in Boulder, CO",,"$75,000 - $80,000 a year",PostedPosted 5 days ago •50+ applications
21,"Sr. Architect – Data , AI, Information Architecture","The Travelers Companies, Inc.","Remote in Hartford, CT 06101",,"$130,600 - $215,400 a year",PostedPosted 30+ days ago
22,Data Scientist,Live Nation,Remote,,Full-time,PostedPosted 30+ days ago
23,Climate Data Scientist,ClimateAI,Remote,Estimated $121K - $153K a year,,PostedToday
24,Senior Data Analyst,Maven Clinic,"Remote in New York, NY",,"$150,000 - $170,000 a year",PostedPosted 22 days ago •50+ applications
25,"Data Scientist, Sr","Pathward, N.A.",Remote,Estimated $119K - $151K a year,,PostedPosted 5 days ago •50+ applications
26,"Sr. Data Scientist, Content",Pinterest,"Remote in San Francisco, CA",Estimated $168K - $213K a year,,PostedPosted 11 days ago •50+ applications
27,Senior Data Analyst,Zipongo,Remote,,"$120,000 - $180,000 a year",PostedToday •50+ applications
28,(5) Data Analyst / Data Scientist,TRA'BIAN ENTERPRISES,Remote,Estimated $80K - $101K a year,Contract,PostedPosted 30+ days ago •50+ applications
29,Jr. Data Scientist,Kyla,"Remote in San Jose, CA",Estimated $87.6K - $111K a year,Full-time,PostedPosted 30+ days ago •50+ applications
30,Data Scientist,astral technologies,Remote,,$65 an hour,EmployerActive 2 days ago
31,Talent Acquisition Data Scientist,TargetCW,"Remote in Seattle, WA",,$70 - $90 an hour,PostedToday
32,Data Scientist,Signify Health,Remote,Estimated $106K - $135K a year,,PostedPosted 12 days ago
33,Lead Machine Learning Engineer - REMOTE,Comcast,"Remote in Philadelphia, PA 19103",,"$111,800 - $262,032 a year",PostedPosted 30+ days ago
34,Associate Data Scientist,Fifth Third Bank,Remote,,"$81,000 - $154,200 a year",PostedToday
35,Data Scientist,Verizon,"Remote in Basking Ridge, NJ",Estimated $127K - $161K a year,Full-time,PostedToday
36,"Data Scientist, Clinical Analytics",Spring Health,"Remote in New York, NY",Estimated $119K - $151K a year,,PostedPosted 21 days ago
37,Data Analyst/Scientist,"PrimePay, LLC",Remote,,"$60,000 - $85,000 a year",PostedPosted 8 days ago
38,Environmental Data Scientist I,Battelle,"Remote in Boulder, CO",,"$75,000 - $80,000 a year",PostedPosted 5 days ago
39,Data Scientist,Live Nation,Remote,,Full-time,PostedPosted 30+ days ago
40,Climate Data Scientist,ClimateAI,Remote,Estimated $121K - $153K a year,,PostedToday
41,Senior Data Analyst,Maven Clinic,"Remote in New York, NY",,"$150,000 - $170,000 a year",PostedPosted 22 days ago
42,"Sr. Data Scientist, Content",Pinterest,"Remote in San Francisco, CA",Estimated $168K - $213K a year,,PostedPosted 11 days ago
43,Remote Senior Machine Learning Engineer,Actalent,"Remote in Tucson, AZ 85701",,$40 - $75 an hour,PostedJust posted
44,"Data Scientist, Sr","Pathward, N.A.",Remote,Estimated $119K - $151K a year,,PostedPosted 5 days ago
45,Software Engineer - AI Trainer,DataAnnotation,Remote,,$30 - $35 an hour,EmployerActive 2 days ago
46,Associate Data Scientist,Fifth Third Bank,Remote,,"$81,000 - $154,200 a year",PostedToday
47,Data Scientist,Verizon,"Remote in Basking Ridge, NJ",Estimated $127K - $161K a year,Full-time,PostedToday
48,"Data Scientist, Clinical Analytics",Spring Health,"Remote in New York, NY",Estimated $119K - $151K a year,,PostedPosted 21 days ago
49,Data Analyst/Scientist,"PrimePay, LLC",Remote,,"$60,000 - $85,000 a year",PostedPosted 8 days ago •75+ applications in progress
50,Environmental Data Scientist I,Battelle,"Remote in Boulder, CO",,"$75,000 - $80,000 a year",PostedPosted 5 days ago •75+ applications in progress
51,Data Scientist,Live Nation,Remote,,Full-time,PostedPosted 30+ days ago
52,Climate Data Scientist,ClimateAI,Remote,Estimated $121K - $153K a year,,PostedToday
53,Senior Data Analyst,Maven Clinic,"Remote in New York, NY",,"$150,000 - $170,000 a year",PostedPosted 22 days ago •75+ applications in progress
54,"Data Scientist, Sr","Pathward, N.A.",Remote,Estimated $119K - $151K a year,,PostedPosted 5 days ago •75+ applications in progress
55,"Sr. Data Scientist, Content",Pinterest,"Remote in San Francisco, CA",Estimated $168K - $213K a year,,PostedPosted 11 days ago
56,Jr. Data Scientist,Kyla,"Remote in San Jose, CA",Estimated $87.6K - $111K a year,Full-time,PostedPosted 30+ days ago •75+ applications in progress
57,(5) Data Analyst / Data Scientist,TRA'BIAN ENTERPRISES,Remote,Estimated $80K - $101K a year,Contract,PostedPosted 30+ days ago •75+ applications in progress
58,Data Scientist (Data Platforms & Applied Intelligence),"Banfield, The Pet Hospital","Remote in Vancouver, WA 98683",,"$100,531 - $138,230 a year",PostedPosted 30+ days ago •75+ applications in progress
59,Senior Data Analyst,Zipongo,Remote,,"$120,000 - $180,000 a year",PostedToday •75+ applications in progress
60,Software Engineer - AI Trainer,DataAnnotation,Remote,,$30 - $35 an hour,EmployerActive 2 days ago
61,"Data Scientist ""Time Series"" (130-180k, Remote, Energy Grid Analytics Company)",Motion Recruitment,"Remote in Washington, DC 20001",,"$130,000 - $230,000 a year",PostedPosted 1 day ago
62,Talent Acquisition Data Scientist,TargetCW,"Remote in Seattle, WA",,$70 - $90 an hour,PostedToday
63,Associate Data Scientist,Fifth Third Bank,Remote,,"$81,000 - $154,200 a year",PostedToday
64,Data Scientist,Verizon,"Remote in Basking Ridge, NJ",Estimated $127K - $161K a year,Full-time,PostedToday
65,Senior CRM Data Analyst,Ltimindtree Limited,Remote,,"$100,000 - $125,000 a year",EmployerActive 2 days ago
66,"Data Scientist, Clinical Analytics",Spring Health,"Remote in New York, NY",Estimated $119K - $151K a year,,PostedPosted 21 days ago
67,Data Analyst/Scientist,"PrimePay, LLC",Remote,,"$60,000 - $85,000 a year",PostedPosted 8 days ago
68,Cloud Data Engineer,Booz Allen Hamilton,"Remote in Washington, DC",,"$58,400 - $133,000 a year",PostedPosted 30+ days ago
69,Environmental Data Scientist I,Battelle,"Remote in Boulder, CO",,"$75,000 - $80,000 a year",PostedPosted 5 days ago
70,Data Scientist,Live Nation,Remote,,Full-time,PostedPosted 30+ days ago
71,Climate Data Scientist,ClimateAI,Remote,Estimated $121K - $153K a year,,PostedToday
72,"Data Scientist, Sr","Pathward, N.A.",Remote,Estimated $119K - $151K a year,,PostedPosted 5 days ago
73,"Sr. Data Scientist, Content",Pinterest,"Remote in San Francisco, CA",Estimated $168K - $213K a year,,PostedPosted 11 days ago
74,Senior Data Analyst,Maven Clinic,"Remote in New York, NY",,"$150,000 - $170,000 a year",PostedPosted 22 days ago
75,Software Engineer - AI Trainer,DataAnnotation,Remote,,$30 - $35 an hour,EmployerActive 2 days ago
76,Associate Data Scientist,Fifth Third Bank,Remote,,"$81,000 - $154,200 a year",PostedToday
77,Data Scientist,Verizon,"Remote in Basking Ridge, NJ",Estimated $127K - $161K a year,Full-time,PostedToday
78,"Data Scientist, Clinical Analytics",Spring Health,"Remote in New York, NY",Estimated $119K - $151K a year,,PostedPosted 21 days ago
79,Data Analyst/Scientist,"PrimePay, LLC",Remote,,"$60,000 - $85,000 a year",PostedPosted 8 days ago •75+ applications in progress
80,Senior AI/ML Data Engineer,The Princeton Review,Remote,,"$115,000 - $160,000 a year",EmployerActive 1 day ago
81,Environmental Data Scientist I,Battelle,"Remote in Boulder, CO",,"$75,000 - $80,000 a year",PostedPosted 5 days ago •75+ applications in progress
82,Data Scientist,Live Nation,Remote,,Full-time,PostedPosted 30+ days ago
83,Climate Data Scientist,ClimateAI,Remote,Estimated $121K - $153K a year,,PostedToday
84,Senior Data Analyst,Maven Clinic,"Remote in New York, NY",,"$150,000 - $170,000 a year",PostedPosted 22 days ago •75+ applications in progress
85,"Data Scientist, Sr","Pathward, N.A.",Remote,Estimated $119K - $151K a year,,PostedPosted 5 days ago •75+ applications in progress
86,"Sr. Data Scientist, Content",Pinterest,"Remote in San Francisco, CA",Estimated $168K - $213K a year,,PostedPosted 11 days ago
87,Senior Data Analyst,Zipongo,Remote,,"$120,000 - $180,000 a year",PostedToday •75+ applications in progress
88,(5) Data Analyst / Data Scientist,TRA'BIAN ENTERPRISES,Remote,Estimated $80K - $101K a year,Contract,PostedPosted 30+ days ago •75+ applications in progress
89,Jr. Data Scientist,Kyla,"Remote in San Jose, CA",Estimated $87.6K - $111K a year,Full-time,PostedPosted 30+ days ago •75+ applications in progress
